,시험명,전체,국어,영어,수학,과학,사회,역사,평균
284,AI진단평가,508,93.0,93.0,100.0,82.0,79.0,61.0,84.66666666666667
285,AI진단평가,86,86.0,0.0,0.0,0.0,0.0,,17.2
286,AI진단평가,77,33.0,29.0,0.0,0.0,15.0,,15.4
287,AI진단평가,459,100.0,100.0,77.0,82.0,100.0,,91.8
288,AI진단평가,392,100.0,68.0,57.0,67.0,100.0,,78.4
289,AI진단평가,407,100.0,93.0,82.0,53.0,79.0,,81.4
290,AI진단평가,347,86.0,93.0,68.0,,100.0,,86.75
291,AI진단평가,301,93.0,61.0,94.0,,53.0,,75.25
292,AI진단평가,358,100.0,86.0,82.0,,90.0,,89.5
293,AI진단평가,465,100.0,93.0,82.0,90.0,100.0,,93.0
294,AI진단평가,427,93.0,86.0,68.0,90.0,90.0,,85.4
295,AI진단평가,504,93.0,72.0,80.0,90.0,69.0,100.0,84.0
296,AI진단평가,519,75.0,100.0,82.0,82.0,90.0,90.0,86.5
297,AI진단평가,371,75.0,72.0,48.0,53.0,90.0,33.0,61.833333333333336
298,AI진단평가,571,93.0,100.0,88.0,100.0,100.0,90.0,95.16666666666669
299,AI진단평가,350,93.0,68.0,28.0,71.0,90.0,,70.0
300,AI진단평가,445,100.0,93.0,80.0,82.0,90.0,,89.0
301,AI진단평가,367,93.0,86.0,42.0,56.0,90.0,,73.4
302,AI진단평가,512,100.0,79.0,54.0,100.0,100.0,79.0,85.33333333333333
303,AI진단평가,336,86.0,93.0,57.0,,100.0,,84.0
304,AI진단평가,345,100.0,93.0,52.0,,100.0,,86.25
305,AI진단평가,411,72.0,93.0,62.0,61.0,100.0,23.0,68.5
306,AI진단평가,304,93.0,54.0,14.0,53.0,90.0,,60.8
307,AI진단평가,252,22.0,29.0,51.0,45.0,90.0,15.0,42.0
308,AI진단평가,359,93.0,79.0,50.0,61.0,38.0,38.0,59.833333333333336
309,AI진단평가,324,72.0,93.0,88.0,,71.0,,81.0
310,AI진단평가,273,100.0,79.0,56.0,15.0,0.0,23.0,45.5
311,AI진단평가,439,100.0,75.0,74.0,90.0,100.0,,87.8
312,AI진단평가,343,72.0,100.0,100.0,,71.0,,85.75
